City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sao Joao Da Barra,BR,2021-06-02 21:00:43,-21.6403,-41.0511,72.66,84,0,10.07
68,Dikson,RU,2021-06-02 21:00:43,73.5069,80.5464,29.75,97,72,5.68
69,Vila Franca Do Campo,PT,2021-06-02 21:00:44,37.7167,-25.4333,61.21,66,83,6.22
70,Russell,US,2021-06-02 21:00:45,32.3502,-85.1999,86.97,56,100,5.55
71,Cicero Dantas,BR,2021-06-02 21:00:45,-10.6,-38.3833,70.2,93,55,8.05
72,Hasaki,JP,2021-06-02 21:00:46,35.7333,140.8333,66.29,77,3,11.36
73,La Libertad,EC,2021-06-02 20:59:17,-2.2333,-80.9,73.06,88,90,11.79
74,Mandalgovi,MN,2021-06-02 21:00:46,45.7625,106.2708,41.63,89,91,12.19
75,Lebu,CL,2021-06-02 21:00:47,-37.6167,-73.65,55.89,93,100,9.91
76,Bredasdorp,ZA,2021-06-02 21:00:47,-34.5322,20.0403,53.28,82,26,8.01
77,Hermanus,ZA,2021-06-02 21:00:48,-34.4187,19.2345,61.9,79,34,14.32
78,Jamestown,US,2021-06-02 20:59:17,42.097,-79.2353,66.52,85,100,6.04
79,Kapit,MY,2021-06-02 21:00:48,2.0167,112.9333,72.75,99,100,1.3
80,Uyo,NG,2021-06-02 21:00:49,5.0333,7.9266,74.59,96,76,3.18
81,Kyren,RU,2021-06-02 21:00:49,51.6828,102.1408,49.8,60,0,2.77
82,Faya,SA,2021-06-02 21:00:50,18.3851,42.4509,71.55,21,52,7.09
83,Talnakh,RU,2021-06-02 21:00:50,69.4865,88.3972,33.22,90,100,4.92
84,Letterkenny,IE,2021-06-02 21:00:51,54.95,-7.7333,58.62,98,100,3.89
85,Mahon,ES,2021-06-02 21:00:51,39.8885,4.2658,68.56,88,40,10.36
86,Faanui,PF,2021-06-02 21:00:52,-16.4833,-151.75,80.67,72,88,13.11
87,Ancud,CL,2021-06-02 21:00:52,-41.8697,-73.8203,54.23,95,100,18.01
88,Maku,IR,2021-06-02 21:00:53,39.2911,44.4521,61.34,40,0,8.12
89,Torbay,CA,2021-06-02 21:00:53,47.6666,-52.7314,68.76,73,2,18.84
90,Guerrero Negro,MX,2021-06-02 21:00:54,27.9769,-114.0611,72.36,51,3,13.33
91,Vao,NC,2021-06-02 21:00:54,-22.6667,167.4833,70.18,67,61,8.57
92,Castro,BR,2021-06-02 20:57:48,-24.7911,-50.0119,59.63,93,64,4.12
93,Zhongxing,CN,2021-06-02 21:00:55,33.7039,118.6792,68.0,93,100,7.87
94,Kimbe,PG,2021-06-02 21:00:55,-5.5502,150.1429,76.87,89,92,2.8
95,Severo-Kurilsk,RU,2021-06-02 21:00:56,50.6789,156.125,42.33,87,26,9.86
96,Khilok,RU,2021-06-02 21:00:56,51.3674,110.4676,41.79,95,94,3.24
97,Leh,IN,2021-06-02 21:00:57,34.1667,77.5833,48.81,49,96,4.23
98,Ostrovnoy,RU,2021-06-02 21:00:57,68.0531,39.5131,46.8,84,47,5.23
99,Lodja,CD,2021-06-02 21:00:58,-3.4833,23.4333,76.01,50,100,1.45
100,Geraldton,AU,2021-06-02 21:00:58,-28.7667,114.6,52.21,82,0,11.07
101,Wahiawa,US,2021-06-02 21:00:59,21.5028,-158.0236,80.76,64,77,7.02
102,Port Alfred,ZA,2021-06-02 21:00:38,-33.5906,26.891,60.58,88,97,15.61
103,Pangnirtung,CA,2021-06-02 21:01:00,66.1451,-65.7125,33.8,93,90,9.22
104,Redmond,US,2021-06-02 20:59:21,47.674,-122.1215,92.98,44,3,7.0
105,Codrington,AU,2021-06-02 21:01:00,-38.2667,141.9667,49.24,89,54,6.76
106,Pervomayskiy,RU,2021-06-02 21:01:01,53.2485,40.2871,50.13,71,93,13.94
107,Iqaluit,CA,2021-06-02 21:01:01,63.7506,-68.5145,33.53,93,90,18.01
108,Saldanha,ZA,2021-06-02 21:01:02,-33.0117,17.9442,59.27,85,17,13.76
109,Kirkland Lake,CA,2021-06-02 21:00:08,48.1446,-80.0377,75.18,29,100,8.43
110,Riyadh,SA,2021-06-02 21:01:02,24.6877,46.7219,91.96,12,43,5.23
111,Fort Saint James,CA,2021-06-02 21:01:03,54.4333,-124.25,76.71,35,97,8.28
112,Goderich,CA,2021-06-02 20:56:21,43.7501,-81.7165,75.2,35,100,5.75
113,Vozuca,BA,2021-06-02 21:01:04,44.3614,18.3578,55.67,88,41,2.98
114,Chokurdakh,RU,2021-06-02 21:01:04,70.6333,147.9167,67.17,23,16,2.73
115,Roma,US,2021-06-02 21:01:03,43.2128,-75.4557,71.4,60,75,11.5
116,Nargana,PA,2021-06-02 21:01:05,9.4428,-78.5906,81.61,80,100,3.94
117,Broome,US,2021-06-02 21:01:05,42.2506,-75.833,66.97,93,90,7.0
118,Kurilsk,RU,2021-06-02 21:01:05,45.2333,147.8833,47.44,68,28,1.68
119,Uinskoye,RU,2021-06-02 21:01:06,56.8817,56.5813,45.55,65,23,7.81
120,Pochutla,MX,2021-06-02 21:01:06,15.7432,-96.4661,88.83,51,67,8.01
121,Carnarvon,AU,2021-06-02 21:01:06,-24.8667,113.6333,63.25,53,100,16.4
122,Saskylakh,RU,2021-06-02 21:01:07,71.9167,114.0833,35.2,82,100,19.15
123,Winslow,US,2021-06-02 21:01:07,35.0242,-110.6974,90.97,9,100,3.0
124,Victoria,HK,2021-06-02 20:57:33,22.2855,114.1577,85.32,89,100,1.01
125,Port Elizabeth,ZA,2021-06-02 21:01:08,-33.918,25.5701,59.29,94,90,10.36
126,Vila Velha,BR,2021-06-02 20:58:35,-20.3297,-40.2925,76.95,88,20,1.99
127,Moron,AR,2021-06-02 21:01:08,-34.6534,-58.6198,59.99,49,1,6.29
128,Half Moon Bay,US,2021-06-02 21:01:08,37.4636,-122.4286,87.49,67,40,9.22
