City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Wadi Maliz,TN,80.26,overcast clouds,36.4681,8.5495,HOPITAL
220,Thanh Hoa,VN,85.55,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
222,Umm Lajj,SA,84.33,clear sky,25.0213,37.2685,Moon light Furnished Units
231,Ilheus,BR,84.02,few clouds,-14.7889,-39.0494,Barravento Hotel
236,Mount Pleasant,US,81.99,broken clouds,32.7941,-79.8626,Best Western Patriots Point
240,Itarema,BR,82.35,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
241,Mana,GF,81.73,moderate rain,5.6592,-53.7767,LE SAMANA
242,Sokoni,TZ,78.46,few clouds,-6.4333,39.55,Ujamaa Beach Resort
244,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
249,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
250,Le Vauclin,MQ,84.33,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
252,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
254,Araguacu,BR,93.6,clear sky,-12.9306,-49.8264,Hotel Tocantins
256,Sabang,ID,82.58,moderate rain,5.8933,95.3214,Hotel Citra
259,Pochutla,MX,90.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
260,Tubalan,PH,79.21,broken clouds,6.495,125.5661,Maldives tubalan malita davao occidental
263,Lahij,YE,86.68,overcast clouds,13.1667,44.5833,
273,Guatire,VE,85.21,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
277,Sarh,TD,93.11,few clouds,9.1429,18.3923,Domicile 1sur le goudron
279,Khorramshahr,IR,94.96,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
283,Urucui,BR,86.63,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
286,Uchiza,PE,82.06,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
290,Kudahuvadhoo,MV,83.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
296,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
297,Ilhabela,BR,75.09,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
302,Chateauroux,FR,81.55,clear sky,46.8167,1.7,Hôtel Kyriad Chateauroux
303,Biak,ID,76.62,overcast clouds,-0.9131,122.8766,Penginapan Kim
305,Nalut,LY,92.7,overcast clouds,30.3333,10.85,
309,Dordrecht,NL,75.06,overcast clouds,51.81,4.6736,Bastion Hotel Dordrecht - Papendrecht
311,Lagos,NG,84.52,clear sky,6.5833,3.75,
313,Santa Cruz Cabralia,BR,82.63,scattered clouds,-16.2781,-39.0247,Portobali Hotel
314,Coxim,BR,92.1,broken clouds,-18.5067,-54.76,Hotel Avenida
315,Eyl,SO,80.19,overcast clouds,7.9803,49.8164,Amiin Hotel
316,Meulaboh,ID,77.18,overcast clouds,4.1363,96.1285,Kost Pria
319,Point Pedro,LK,82.65,overcast clouds,9.8167,80.2333,Gtr homes
321,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
322,Virginia Beach,US,82.47,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
323,Sibolga,ID,77.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
324,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
325,Esna,EG,89.89,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
336,Bac Lieu,VN,82.58,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
337,Toppenish,US,89.73,clear sky,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
338,Korla,CN,81.39,few clouds,41.7597,86.1469,Gulisitan Hotel
339,Formosa,AR,85.98,broken clouds,-26.1775,-58.1781,Hotel Portal del Sol
341,Gimli,CA,78.22,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
343,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
346,Sumenep,ID,79.84,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
348,Faanui,PF,79.88,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
351,Bow Island,CA,91.42,clear sky,49.8668,-111.3684,Pleasant View Lodge
353,Omboue,GA,76.96,clear sky,-1.5746,9.2618,Hotel Olako
355,Mayo,US,85.64,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
362,Kahului,US,81.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
363,Vaitape,PF,79.92,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
364,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
367,Richmond,US,83.39,overcast clouds,37.5538,-77.4603,The Jefferson Hotel
